Category,Token Name,Light Value,Dark Value,Description
Button,btn-outline-bg,"transparent","rgba(255,255,255,0.05)",Outline Button Background
Button,btn-outline-border,"1px solid rgba(0, 102, 204, 0.4)","1px solid rgba(0, 132, 255, 0.4)",Outline Button Border
Button,btn-outline-hover,"1px solid rgba(0, 102, 204, 0.6)","1px solid #0084FF",Outline Button Hover Border
Button,btn-ghost-bg,"transparent","transparent",Ghost Button Background
Button,btn-ghost-hover,"rgba(0, 102, 204, 0.1)","rgba(0, 132, 255, 0.1)",Ghost Button Hover Background
Button,btn-secondary-bg,"rgba(0, 153, 170, 0.1)","rgba(0, 229, 255, 0.1)",Secondary Button Background
Button,btn-secondary-border,"1px solid rgba(0, 153, 170, 0.3)","1px solid rgba(0, 229, 255, 0.3)",Secondary Button Border
Button,btn-secondary-hover,"rgba(0, 153, 170, 0.2)","rgba(0, 229, 255, 0.2)",Secondary Button Hover Background
Input,input-bg,"#FFFFFF","rgba(30, 41, 59, 0.8)",Input field background
Input,input-bg-hover,"#F9FAFB","rgba(40, 56, 80, 0.9)",Input field hover background
Input,input-bg-focus,"#FFFFFF","rgba(40, 56, 80, 0.95)",Input field focus background
Input,input-border,"1px solid rgba(28, 102, 196, 0.3)","1px solid rgba(255, 255, 255, 0.15)",Input field border
Input,input-border-hover,"1px solid rgba(0, 102, 204, 0.4)","1px solid rgba(0, 132, 255, 0.3)",Input field hover border
Input,input-border-focus,"1px solid rgba(0, 102, 204, 0.6)","1px solid rgba(0, 132, 255, 0.6)",Input field focus border
Card,card-padding,"24px","24px",Card padding
Card,card-padding-sm,"16px","16px",Small card padding
Card,card-padding-lg,"32px","32px",Large card padding
Card,card-border-radius,"10px","10px",Card border radius
Card,card-border-radius-sm,"6px","6px",Small card border radius
Card,card-border-radius-lg,"12px","12px",Large card border radius
Card,card-shadow,"0 8px 32px rgba(28, 102, 196, 0.08)","0 8px 32px rgba(0, 132, 255, 0.15), 0 1px 2px rgba(0, 0, 0, 0.3)",Card shadow
Card,card-shadow-hover,"0 12px 40px rgba(0, 132, 255, 0.2)","0 12px 48px rgba(0, 132, 255, 0.25), 0 2px 4px rgba(0, 0, 0, 0.4)",Card hover shadow
Card,card-border,"1px solid rgba(28, 102, 196, 0.15)","1px solid rgba(0, 132, 255, 0.2)",Card border
Card,card-border-hover,"1px solid rgba(0, 102, 204, 0.4)","1px solid #0084FF",Card hover border
Card,card-transition,"all 0.3s cubic-bezier(0.4, 0, 0.2, 1)","all 0.3s cubic-bezier(0.4, 0, 0.2, 1)",Card transition effect
Effect,glass-card-bg,"rgba(255, 255, 255, 0.1)","rgba(20, 30, 40, 0.6)",Glass Card Background (High Transparency)
Effect,glass-card-border,"1px solid rgba(255, 255, 255, 0.2)","1px solid rgba(255, 255, 255, 0.2)",Glass Card Border (20% White)
Effect,glass-card-shadow,"0 8px 32px rgba(0, 0, 0, 0.1)","0 8px 32px rgba(0, 0, 0, 0.3)",Glass Card Shadow (Soft Diffusion)
Effect,glass-card-backdrop,blur(12px),blur(12px),Glass Card Backdrop Filter
Effect,gradient-primary,"linear-gradient(90deg, #0066CC 0%, #0099AA 100%)","linear-gradient(90deg, #0084FF 0%, #00E5FF 100%)",Primary Button Background Gradient
Color,color-primary-rgb,0,102,204,Primary Color RGB Values (Light Mode)
Color,color-primary-rgb-dark,0,132,255,Primary Color RGB Values (Dark Mode)
Button,btn-ue-bg,"rgba(0, 102, 204, 0.1)","rgba(0, 132, 255, 0.1)",UE Button Background
Button,btn-ue-border,"1px solid rgba(0, 102, 204, 0.3)","1px solid rgba(0, 132, 255, 0.3)",UE Button Border
Button,btn-ue-text,#0066CC,#0084FF,UE Button Text Color
Effect,ue-stats-hud-bg,rgba(0, 0, 0, 0.7),rgba(0, 0, 0, 0.8),UE Stats HUD Background
Effect,ue-stats-hud-border,"1px solid rgba(0, 153, 170, 0.3)","1px solid rgba(0, 229, 255, 0.3)",UE Stats HUD Border
Effect,ue-stats-hud-padding,12px,12px,UE Stats HUD Padding
Effect,ue-stats-hud-font-size,0.8rem,0.8rem,UE Stats HUD Font Size
Effect,ue-stats-hud-backdrop,blur(12px),blur(12px),UE Stats HUD Backdrop Filter
Effect,ue-viewport-overlay,"radial-gradient(ellipse at center, rgba(10, 20, 40, 0.2) 0%, rgba(2, 4, 10, 0.4) 100%)","radial-gradient(ellipse at center, rgba(10, 20, 40, 0.3) 0%, rgba(2, 4, 10, 0.5) 100%)",UE Viewport Overlay Gradient

/* 图表设计令牌 */
Color,chart-line-primary,#0084FF,#0084FF,Primary line chart color
Color,chart-line-secondary,#00E5FF,#00E5FF,Secondary line chart color
Color,chart-line-accent,#00FFC8,#00FFC8,Accent line chart color
Color,chart-area-fill,"rgba(0, 132, 255, 0.1)","rgba(0, 132, 255, 0.15)",Area chart fill color
Color,chart-grid,"rgba(28, 102, 196, 0.2)","rgba(255, 255, 255, 0.1)",Chart grid color
Color,chart-tooltip-bg,#FFFFFF,"rgba(10, 20, 40, 0.9)",Chart tooltip background
Color,chart-tooltip-border,"rgba(28, 102, 196, 0.3)","rgba(0, 132, 255, 0.3)",Chart tooltip border

/* 响应式设计令牌 */
Breakpoint,breakpoint-xs,480px,480px,Extra small breakpoint (small mobile)
Breakpoint,breakpoint-sm,640px,640px,Small breakpoint (mobile)
Breakpoint,breakpoint-md,768px,768px,Medium breakpoint (tablet)
Breakpoint,breakpoint-lg,1024px,1024px,Large breakpoint (desktop)
Breakpoint,breakpoint-xl,1280px,1280px,Extra large breakpoint (large desktop)
Breakpoint,breakpoint-2xl,1536px,1536px,2x extra large breakpoint (ultrawide)
Breakpoint,breakpoint-3xl,1920px,1920px,3x extra large breakpoint (4K desktop)
Breakpoint,breakpoint-4xl,2560px,2560px,4x extra large breakpoint (ultrawide 4K)
Responsive,container-sm,640px,640px,Small container width
Responsive,container-md,768px,768px,Medium container width
Responsive,container-lg,1024px,1024px,Large container width
Responsive,container-xl,1280px,1280px,Extra large container width
Responsive,container-2xl,1536px,1536px,2x extra large container width
Responsive,container-fluid,100%,100%,Fluid container width
Responsive,grid-columns-xs,2,2,Grid columns (extra small)
Responsive,grid-columns-sm,3,3,Grid columns (small)
Responsive,grid-columns-md,4,4,Grid columns (medium)
Responsive,grid-columns-lg,6,6,Grid columns (large)
Responsive,grid-columns-xl,8,8,Grid columns (extra large)
Responsive,grid-columns-2xl,12,12,Grid columns (2x extra large)
Responsive,grid-gap-xs,8px,8px,Grid gap (extra small)
Responsive,grid-gap-sm,12px,12px,Grid gap (small)
Responsive,grid-gap-md,16px,16px,Grid gap (medium)
Responsive,grid-gap-lg,24px,24px,Grid gap (large)
Responsive,grid-gap-xl,32px,32px,Grid gap (extra large)
Responsive,padding-xs,12px,12px,Padding (extra small)
Responsive,padding-sm,16px,16px,Padding (small)
Responsive,padding-md,24px,24px,Padding (medium)
Responsive,padding-lg,32px,32px,Padding (large)
Responsive,padding-xl,48px,48px,Padding (extra large)

/* 表单设计令牌 */
Color,input-border,"rgba(28, 102, 196, 0.3)","rgba(255, 255, 255, 0.15)",Input border color
Color,input-border-focus,"rgba(0, 102, 204, 0.6)","rgba(0, 132, 255, 0.6)",Input border focus color
Color,input-text,#000000,#FFFFFF,Input text color
Color,input-placeholder,#9CA3AF,"rgba(156, 163, 175, 0.6)",Input placeholder color

/* 导航设计令牌 */
Color,nav-bg,#FFFFFF,"rgba(2, 4, 10, 0.95)",Navigation background
Color,nav-border,"rgba(28, 102, 196, 0.2)","rgba(0, 132, 255, 0.2)",Navigation border
Color,nav-text,#000000,#FFFFFF,Navigation text color
Color,nav-text-active,#0066CC,#0084FF,Navigation active text color
Color,nav-text-hover,#0099AA,#00E5FF,Navigation hover text color





/* 图表设计指南 */
Chart,chart-type-line,Line Chart,Line Chart,Time-series data visualization
Chart,chart-type-area,Area Chart,Area Chart,Time-series with volume visualization
Chart,chart-type-bar,Bar Chart,Bar Chart,Categorical data comparison
Chart,chart-type-pie,Pie Chart,Pie Chart,Part-to-whole relationship
Chart,chart-type-radar,Radar Chart,Radar Chart,Multi-dimensional comparison
Chart,chart-type-gauge,Gauge Chart,Gauge Chart,KPI performance tracking
Chart,chart-type-heatmap,Heatmap,Heatmap,Matrix data visualization
Chart,chart-type-scatter,Scatter Plot,Scatter Plot,Correlation analysis

/* 图表库推荐 */
Chart,chart-library-chartjs,Chart.js,Chart.js,Lightweight charting library
Chart,chart-library-echarts,ECharts,ECharts,Comprehensive charting library
Chart,chart-library-d3,D3.js,D3.js,Low-level data visualization library

/* 图标库配置 */
Icon,icon-library-default,Lucide Icons,Lucide Icons,Default icon library for Lingjing Core
Icon,icon-library-lucide,Lucide Icons,Lucide Icons,Modern, clean line icons
Icon,icon-library-phosphor,Phosphor Icons,Phosphor Icons,Lightweight icons with multiple styles
Icon,icon-library-heroicons,Heroicons,Heroicons,Functional, clean icons
Icon,icon-library-feather,Feather Icons,Feather Icons,Lightweight line icons
Icon,icon-library-material,Material Symbols,Material Symbols,Modern, scalable icons

/* 图标库 CDN 链接 */
Icon,icon-cdn-lucide,https://unpkg.com/lucide@latest,https://unpkg.com/lucide@latest,Lucide Icons CDN
Icon,icon-cdn-phosphor,https://unpkg.com/phosphor-icons@latest,https://unpkg.com/phosphor-icons@latest,Phosphor Icons CDN
Icon,icon-cdn-heroicons,https://unpkg.com/heroicons@latest,https://unpkg.com/heroicons@latest,Heroicons CDN
Icon,icon-cdn-feather,https://unpkg.com/feather-icons@latest,https://unpkg.com/feather-icons@latest,Feather Icons CDN
Icon,icon-cdn-material,https://fonts.googleapis.com/icon?family=Material+Symbols+Outlined,https://fonts.googleapis.com/icon?family=Material+Symbols+Outlined,Material Symbols CDN

/* 图标样式令牌 */
Icon,icon-color-primary,#0066CC,#0084FF,Primary icon color (Aero-Blue)
Icon,icon-color-secondary,#0099AA,#00E5FF,Secondary icon color (Pulse-Cyan)
Icon,icon-color-accent,#00A383,#00FFC8,Accent icon color (Signal-Green)
Icon,icon-color-disabled,#9CA3AF,#6B7280,Disabled icon color
Icon,icon-color-muted,#6B7280,#9CA3AF,Muted icon color
Icon,icon-size-xs,12px,12px,Extra small icon size
Icon,icon-size-sm,16px,16px,Small icon size
Icon,icon-size-md,20px,20px,Medium icon size
Icon,icon-size-lg,24px,24px,Large icon size
Icon,icon-size-xl,32px,32px,Extra large icon size
Icon,icon-size-2xl,48px,48px,2x extra large icon size
Icon,icon-padding-sm,4px,4px,Small icon padding
Icon,icon-padding-md,8px,8px,Medium icon padding
Icon,icon-padding-lg,12px,12px,Large icon padding
Icon,icon-bg-circle-sm,24px,24px,Small icon circle background
Icon,icon-bg-circle-md,32px,32px,Medium icon circle background
Icon,icon-bg-circle-lg,40px,40px,Large icon circle background
Icon,icon-bg-color-primary,rgba(0, 102, 204, 0.1),rgba(0, 132, 255, 0.1),Primary icon background color
Icon,icon-bg-color-secondary,rgba(0, 153, 170, 0.1),rgba(0, 229, 255, 0.1),Secondary icon background color
Icon,icon-bg-color-accent,rgba(0, 163, 131, 0.1),rgba(0, 255, 200, 0.1),Accent icon background color
Icon,icon-border-radius,50%,50%,Icon border radius (circle)

/* 性能优化令牌 */
Performance,image-format-hero,WebP,WebP,Hero image format
Performance,image-format-content,WebP,WebP,Content image format
Performance,image-format-icon,SVG,SVG,Icon image format
Performance,image-quality-hero,85,85,Hero image quality
Performance,image-quality-content,75,75,Content image quality
Performance,image-quality-thumbnail,70,70,Thumbnail image quality
Performance,font-display,swap,swap,Font display strategy
Performance,font-preload,true,true,Font preload strategy
Performance,css-minify,true,true,CSS minification
Performance,js-minify,true,true,JavaScript minification
Performance,js-tree-shaking,true,true,JavaScript tree shaking
Performance,code-splitting,true,true,Code splitting
Performance,preload-critical,true,true,Preload critical resources
Performance,preload-images,true,true,Preload images
Performance,preload-fonts,true,true,Preload fonts
Performance,browser-cache,max-age=31536000,max-age=31536000,Browser cache duration
Performance,cdn-enabled,true,true,CDN enabled
Performance,gzip-compression,true,true,Gzip compression
Performance,brotli-compression,true,true,Brotli compression
Performance,render-blocking-optimization,true,true,Render blocking optimization
Performance,defer-non-critical-js,true,true,Defer non-critical JavaScript
Performance,async-scripts,true,true,Async scripts
Performance,animation-performance,transform-opacity,transform-opacity,Animation performance properties
Performance,paint-optimization,true,true,Paint optimization
Performance,layout-thrashing-avoidance,true,true,Layout thrashing avoidance
Performance,memory-optimization,true,true,Memory optimization
Performance,network-optimization,true,true,Network optimization
Performance,accessibility-optimization,true,true,Accessibility optimization
